,REGION,ILITOTAL,TOTAL PATIENTS,Season,A_H1,A_H3,BVic,BYam,A_2009_H1N1,Total_Tested,B,H3N2v,ILI_Percent,A_H1_Percent,A_H3_Percent,BVic_Percent,BYam_Percent,A_2009_H1N1_Percent,B_Percent,H3N2v_Percent
49,Alabama,17028.0,402872.0,11.0,0.0,,,,9.0,2624.0,4.0,0.0,0.04226652634087254,0.0,,,,0.003429878048780488,0.001524390243902439,0.0
50,Alaska,987.0,107490.0,11.0,0.0,,,,113.0,3473.0,224.0,0.0,0.009182249511582473,0.0,,,,0.03253671177656205,0.0644975525482292,0.0
51,Arizona,9574.0,964366.0,11.0,0.0,,,,453.0,4222.0,162.0,0.0,0.009927766014148156,0.0,,,,0.10729512079583135,0.03837044054950261,0.0
52,Arkansas,2946.0,170554.0,11.0,0.0,,,,16.0,1178.0,13.0,0.0,0.017273121709253374,0.0,,,,0.013582342954159592,0.011035653650254669,0.0
53,California,36771.0,1482308.0,11.0,0.0,,,,311.0,10674.0,130.0,0.0,0.02480658540600199,0.0,,,,0.02913621884954094,0.012179126850290425,0.0
54,Colorado,7403.0,1049059.0,11.0,0.0,,,,29.0,10306.0,15.0,0.0,0.007056800427811973,0.0,,,,0.0028138948185522997,0.001455462837182224,0.0
55,Connecticut,480.0,144279.0,11.0,0.0,,,,64.0,5760.0,23.0,0.0,0.0033268874888237373,0.0,,,,0.011111111111111112,0.003993055555555555,0.0
56,Delaware,299.0,110072.0,11.0,0.0,,,,20.0,4043.0,45.0,0.0,0.002716403808416309,0.0,,,,0.004946821667078902,0.011130348750927528,0.0
57,Georgia,24583.0,1632793.0,11.0,0.0,,,,49.0,15112.0,204.0,0.0,0.015055797029997067,0.0,,,,0.003242456326098465,0.013499205929062997,0.0
58,Hawaii,7320.0,512724.0,11.0,0.0,,,,47.0,8698.0,461.0,0.0,0.014276686872469399,0.0,,,,0.005403541043918142,0.053000689813750286,0.0
59,Idaho,3467.0,196096.0,11.0,0.0,,,,14.0,75.0,2.0,0.0,0.0176801158616188,0.0,,,,0.18666666666666668,0.02666666666666667,0.0
60,Illinois,40394.0,2035227.0,11.0,0.0,,,,46.0,2030.0,91.0,0.0,0.019847417511658406,0.0,,,,0.022660098522167486,0.04482758620689655,0.0
61,Indiana,4478.0,442949.0,11.0,0.0,,,,27.0,2395.0,18.0,0.0,0.010109515993940612,0.0,,,,0.01127348643006263,0.007515657620041753,0.0
62,Iowa,1207.0,182713.0,11.0,0.0,,,,120.0,2531.0,33.0,0.0,0.006605988626972355,0.0,,,,0.047412090082971155,0.013038324772817068,0.0
63,Kansas,3945.0,368112.0,11.0,0.0,,,,23.0,164.0,1.0,0.0,0.01071684704655105,0.0,,,,0.1402439024390244,0.006097560975609756,0.0
64,Kentucky,2326.0,867312.0,11.0,0.0,,,,23.0,1454.0,10.0,0.0,0.0026818492076669063,0.0,,,,0.01581843191196699,0.0068775790921595595,0.0
65,Louisiana,13859.0,659113.0,11.0,0.0,,,,12.0,5400.0,22.0,0.0,0.021026743517424173,0.0,,,,0.0022222222222222222,0.004074074074074074,0.0
66,Maine,1207.0,269689.0,11.0,0.0,,,,13.0,776.0,21.0,0.0,0.004475525512720208,0.0,,,,0.01675257731958763,0.027061855670103094,0.0
67,Maryland,6632.0,339648.0,11.0,0.0,,,,56.0,2326.0,164.0,0.0,0.019526097606934238,0.0,,,,0.02407566638005159,0.0705073086844368,0.0
68,Massachusetts,12232.0,1329790.0,11.0,0.0,,,,7.0,684.0,29.0,0.0,0.009198444867234676,0.0,,,,0.01023391812865497,0.04239766081871345,0.0
69,Michigan,4666.0,668931.0,11.0,0.0,,,,33.0,1317.0,75.0,0.0,0.006975308365137809,0.0,,,,0.025056947608200455,0.05694760820045558,0.0
70,Minnesota,2683.0,199617.0,11.0,0.0,,,,69.0,6380.0,104.0,0.0,0.013440739015214136,0.0,,,,0.010815047021943573,0.016300940438871474,0.0
71,Mississippi,21459.0,704144.0,11.0,0.0,,,,8.0,842.0,8.0,0.0,0.030475300506714535,0.0,,,,0.009501187648456057,0.009501187648456057,0.0
72,Missouri,4741.0,320747.0,11.0,0.0,,,,8.0,10717.0,14.0,0.0,0.014781120322247753,0.0,,,,0.000746477559018382,0.0013063357282821686,0.0
73,Montana,204.0,102397.0,11.0,0.0,,,,39.0,706.0,10.0,0.0,0.0019922458665781223,0.0,,,,0.05524079320113314,0.014164305949008499,0.0
74,Nebraska,2649.0,126929.0,11.0,0.0,,,,11.0,1081.0,11.0,0.0,0.020869935160601597,0.0,,,,0.010175763182238668,0.010175763182238668,0.0
75,Nevada,5443.0,580166.0,11.0,0.0,,,,106.0,1134.0,54.0,0.0,0.009381797623438808,0.0,,,,0.09347442680776014,0.047619047619047616,0.0
76,New Hampshire,370.0,213937.0,11.0,0.0,,,,7.0,449.0,40.0,0.0,0.00172948110892459,0.0,,,,0.015590200445434299,0.08908685968819599,0.0
77,New Jersey,1659.0,229932.0,11.0,0.0,,,,0.0,0.0,0.0,0.0,0.007215176660925839,,,,,,,
78,New Mexico,7419.0,348804.0,11.0,0.0,,,,68.0,844.0,13.0,0.0,0.021269824887329272,0.0,,,,0.08056872037914692,0.015402843601895734,0.0
79,New York,2783.0,531230.0,11.0,0.0,,,,144.0,11016.0,151.0,0.0,0.0052387854601585,0.0,,,,0.013071895424836602,0.013707334785766159,0.0
80,North Carolina,6604.0,725750.0,11.0,0.0,,,,48.0,630.0,3.0,0.0,0.009099552187392352,0.0,,,,0.0761904761904762,0.004761904761904762,0.0
81,North Dakota,909.0,146818.0,11.0,0.0,,,,12.0,159.0,6.0,0.0,0.006191338936642646,0.0,,,,0.07547169811320754,0.03773584905660377,0.0
82,Ohio,3612.0,646180.0,11.0,0.0,,,,5.0,3264.0,17.0,0.0,0.005589773747253088,0.0,,,,0.0015318627450980392,0.005208333333333333,0.0
83,Oklahoma,2903.0,137403.0,11.0,0.0,,,,192.0,2323.0,4.0,0.0,0.02112763185665524,0.0,,,,0.08265174343521309,0.0017219113215669393,0.0
84,Oregon,1551.0,150904.0,11.0,0.0,,,,71.0,940.0,26.0,0.0,0.01027805757302656,0.0,,,,0.07553191489361702,0.027659574468085105,0.0
85,Pennsylvania,7844.0,765597.0,11.0,0.0,,,,69.0,7425.0,178.0,0.0,0.01024559918599472,0.0,,,,0.009292929292929294,0.023973063973063972,0.0
86,Rhode Island,604.0,278612.0,11.0,0.0,,,,0.0,0.0,0.0,0.0,0.002167889394570227,,,,,,,
87,South Carolina,1065.0,306427.0,11.0,0.0,,,,38.0,3170.0,21.0,0.0,0.0034755422988183154,0.0,,,,0.011987381703470032,0.006624605678233439,0.0
88,South Dakota,2478.0,243504.0,11.0,0.0,,,,14.0,3157.0,16.0,0.0,0.010176424206583875,0.0,,,,0.004434589800443459,0.005068102629078239,0.0
89,Tennessee,3808.0,537922.0,11.0,0.0,,,,11.0,846.0,3.0,0.0,0.007079093251437941,0.0,,,,0.013002364066193853,0.0035460992907801418,0.0
90,Texas,38557.0,1893707.0,11.0,0.0,,,,330.0,23388.0,230.0,0.0,0.02036059432636622,0.0,,,,0.014109799897383273,0.009834102958782282,0.0
91,Utah,15375.0,760686.0,11.0,0.0,,,,1013.0,13706.0,87.0,0.0,0.020212019151134634,0.0,,,,0.07390923683058515,0.006347584999270393,0.0
92,Vermont,2378.0,128594.0,11.0,0.0,,,,3.0,53.0,1.0,0.0,0.01849230912795309,0.0,,,,0.05660377358490566,0.018867924528301886,0.0
93,Virginia,42371.0,3403962.0,11.0,0.0,,,,12.0,2408.0,19.0,0.0,0.012447553762351049,0.0,,,,0.0049833887043189366,0.007890365448504983,0.0
94,Washington,2370.0,275817.0,11.0,0.0,,,,199.0,12023.0,731.0,0.0,0.00859265382481863,0.0,,,,0.016551609415287365,0.060800133078266656,0.0
95,West Virginia,3456.0,562757.0,11.0,0.0,,,,10.0,6805.0,4.0,0.0,0.006141194156625328,0.0,,,,0.0014695077149155032,0.0005878030859662013,0.0
96,Wisconsin,1129.0,159870.0,11.0,0.0,,,,56.0,4430.0,161.0,0.0,0.007061987865140427,0.0,,,,0.012641083521444696,0.0363431151241535,0.0
97,Wyoming,1565.0,213724.0,11.0,0.0,,,,22.0,613.0,5.0,0.0,0.007322528120379555,0.0,,,,0.03588907014681892,0.008156606851549755,0.0
98,Alabama,20581.0,549110.0,12.0,0.0,,,,7.0,3442.0,76.0,0.0,0.037480650507184354,0.0,,,,0.0020337013364323067,0.022080185938407902,0.0
99,Alaska,1010.0,97146.0,12.0,0.0,,,,10.0,3879.0,245.0,0.0,0.010396722458979268,0.0,,,,0.002577984016499098,0.0631606084042279,0.0
100,Arizona,13521.0,848674.0,12.0,0.0,,,,68.0,5458.0,468.0,0.0,0.01593191260719664,0.0,,,,0.01245877610846464,0.08574569439355074,0.0
101,Arkansas,2429.0,124875.0,12.0,0.0,,,,12.0,2149.0,148.0,0.0,0.01945145145145145,0.0,,,,0.005583992554676594,0.068869241507678,0.0
102,California,42860.0,1545173.0,12.0,0.0,,,,91.0,16782.0,561.0,0.0,0.027737994386389096,0.0,,,,0.005422476462876892,0.033428673578834465,0.0
103,Colorado,11472.0,1093683.0,12.0,0.0,,,,121.0,15837.0,899.0,0.0,0.010489328260565447,0.0,,,,0.007640335922207489,0.05676580160383911,0.0
104,Connecticut,1943.0,156820.0,12.0,0.0,,,,34.0,10458.0,308.0,0.0,0.012390001275347532,0.0,,,,0.003251099636641805,0.029451137884872823,0.0
105,Delaware,1397.0,97309.0,12.0,0.0,,,,38.0,4108.0,492.0,0.0,0.014356328808229455,0.0,,,,0.009250243427458617,0.11976630963972736,0.0
106,Georgia,25439.0,1459100.0,12.0,0.0,,,,49.0,33724.0,2114.0,0.0,0.01743472003289699,0.0,,,,0.0014529711777962282,0.06268532795635157,0.0
107,Hawaii,7907.0,417913.0,12.0,0.0,,,,85.0,16891.0,1371.0,1.0,0.018920205880171233,0.0,,,,0.005032265703629152,0.08116748564324196,5.920312592504884e-05
108,Idaho,3027.0,193637.0,12.0,0.0,,,,4.0,669.0,172.0,0.0,0.015632342992300024,0.0,,,,0.005979073243647235,0.2571001494768311,0.0
109,Illinois,48058.0,2053115.0,12.0,0.0,,,,6.0,3377.0,89.0,3.0,0.023407359061718414,0.0,,,,0.0017767249037607344,0.02635475273911756,0.0008883624518803672
110,Indiana,7486.0,434330.0,12.0,0.0,,,,40.0,3839.0,164.0,109.0,0.017235742407846567,0.0,,,,0.01041938004688721,0.04271945819223756,0.028392810627767648
111,Iowa,1268.0,108605.0,12.0,0.0,,,,17.0,4456.0,386.0,1.0,0.011675337231250863,0.0,,,,0.00381508078994614,0.08662477558348294,0.0002244165170556553
112,Kansas,5718.0,305815.0,12.0,0.0,,,,0.0,115.0,21.0,0.0,0.01869757860144205,0.0,,,,0.0,0.1826086956521739,0.0
113,Kentucky,4476.0,892964.0,12.0,0.0,,,,9.0,1888.0,85.0,0.0,0.005012520101594241,0.0,,,,0.004766949152542373,0.045021186440677964,0.0
114,Louisiana,45248.0,1391307.0,12.0,0.0,,,,7.0,7710.0,373.0,0.0,0.03252193800505568,0.0,,,,0.0009079118028534371,0.04837872892347601,0.0
115,Maine,3042.0,290408.0,12.0,0.0,,,,19.0,1060.0,18.0,0.0,0.010474918046334812,0.0,,,,0.017924528301886792,0.016981132075471698,0.0
116,Maryland,6838.0,306714.0,12.0,0.0,,,,69.0,6206.0,593.0,12.0,0.022294384997098272,0.0,,,,0.011118272639381244,0.09555269094424751,0.0019336126329358686
117,Massachusetts,16446.0,1317834.0,12.0,0.0,,,,18.0,1489.0,99.0,0.0,0.01247956874689832,0.0,,,,0.01208865010073875,0.06648757555406314,0.0
118,Michigan,12153.0,671555.0,12.0,0.0,,,,23.0,994.0,125.0,6.0,0.01809680517604664,0.0,,,,0.023138832997987926,0.12575452716297786,0.006036217303822937
119,Minnesota,2930.0,221388.0,12.0,0.0,,,,53.0,10092.0,681.0,3.0,0.013234682999981932,0.0,,,,0.005251684502576298,0.06747919143876338,0.00029726516052318666
120,Mississippi,32458.0,718230.0,12.0,0.0,,,,7.0,1850.0,84.0,0.0,0.045191651699316375,0.0,,,,0.0037837837837837837,0.04540540540540541,0.0
121,Missouri,6728.0,313603.0,12.0,0.0,,,,20.0,12789.0,373.0,0.0,0.02145387639786609,0.0,,,,0.001563843928375948,0.029165689264211432,0.0
122,Montana,434.0,113688.0,12.0,0.0,,,,4.0,3366.0,218.0,0.0,0.003817465343747801,0.0,,,,0.0011883541295306002,0.0647653000594177,0.0
123,Nebraska,5425.0,129445.0,12.0,0.0,,,,11.0,2564.0,257.0,0.0,0.04190969137471513,0.0,,,,0.004290171606864275,0.10023400936037441,0.0
124,Nevada,7215.0,531811.0,12.0,0.0,,,,18.0,1634.0,277.0,0.0,0.013566849877117999,0.0,,,,0.011015911872705019,0.16952264381884946,0.0
125,New Hampshire,963.0,186985.0,12.0,0.0,,,,5.0,573.0,13.0,0.0,0.005150145733614996,0.0,,,,0.008726003490401396,0.02268760907504363,0.0
126,New Jersey,5544.0,228406.0,12.0,0.0,,,,0.0,0.0,0.0,0.0,0.024272567270562068,,,,,,,
127,New Mexico,8937.0,376887.0,12.0,0.0,,,,19.0,1066.0,128.0,0.0,0.023712677805283813,0.0,,,,0.017823639774859287,0.1200750469043152,0.0
128,New York,10570.0,597473.0,12.0,0.0,,,,153.0,37529.0,1738.0,0.0,0.01769117600293235,0.0,,,,0.0040768472381358415,0.04631085294039276,0.0
129,North Carolina,12737.0,698604.0,12.0,0.0,,,,12.0,876.0,92.0,0.0,0.018232074250934722,0.0,,,,0.0136986301369863,0.1050228310502283,0.0
130,North Dakota,1861.0,64437.0,12.0,0.0,,,,12.0,4705.0,315.0,0.0,0.028880922451386626,0.0,,,,0.0025504782146652497,0.0669500531349628,0.0
131,Ohio,7624.0,588569.0,12.0,0.0,,,,7.0,3998.0,303.0,107.0,0.012953451506960102,0.0,,,,0.0017508754377188595,0.07578789394697348,0.026763381690845422
132,Oklahoma,5095.0,176074.0,12.0,0.0,,,,8.0,5461.0,265.0,0.0,0.028936697070549883,0.0,,,,0.0014649331624244644,0.04852591100531038,0.0
133,Oregon,1544.0,135087.0,12.0,0.0,,,,21.0,1471.0,94.0,0.0,0.011429671248898857,0.0,,,,0.014276002719238613,0.06390210740992522,0.0
134,Pennsylvania,12931.0,730694.0,12.0,0.0,,,,120.0,10208.0,720.0,12.0,0.017696874478235758,0.0,,,,0.011755485893416929,0.07053291536050156,0.0011755485893416929
135,Rhode Island,1858.0,284106.0,12.0,0.0,,,,0.0,0.0,0.0,0.0,0.006539812605154414,,,,,,,
136,South Carolina,2915.0,307750.0,12.0,0.0,,,,32.0,7413.0,291.0,0.0,0.009471974004874087,0.0,,,,0.004316740860650209,0.03925536220153784,0.0
137,South Dakota,2417.0,182479.0,12.0,0.0,,,,9.0,4921.0,250.0,0.0,0.01324535974002488,0.0,,,,0.001828896565738671,0.05080268238162975,0.0
138,Tennessee,8173.0,515751.0,12.0,0.0,,,,17.0,1862.0,150.0,0.0,0.015846794286390138,0.0,,,,0.009129967776584319,0.08055853920515575,0.0
139,Texas,63467.0,1903966.0,12.0,0.0,,,,51.0,40748.0,3278.0,0.0,0.03333410365521233,0.0,,,,0.0012515951703151076,0.08044566604495926,0.0
140,Utah,21538.0,901997.0,12.0,0.0,,,,74.0,23989.0,1670.0,0.0,0.023878128197765625,0.0,,,,0.003084747175788903,0.06961524031847931,0.0
141,Vermont,3234.0,125554.0,12.0,0.0,,,,0.0,119.0,8.0,0.0,0.025757841247590677,0.0,,,,0.0,0.06722689075630252,0.0
142,Virginia,81328.0,3556795.0,12.0,0.0,,,,10.0,4970.0,328.0,0.0,0.022865529219423666,0.0,,,,0.002012072434607646,0.06599597585513078,0.0
143,Washington,2863.0,300381.0,12.0,0.0,,,,42.0,15075.0,216.0,0.0,0.009531228672918727,0.0,,,,0.0027860696517412937,0.014328358208955224,0.0
144,West Virginia,7624.0,628994.0,12.0,0.0,,,,28.0,13584.0,668.0,3.0,0.012120942330133515,0.0,,,,0.002061248527679623,0.04917550058892815,0.00022084805653710247
145,Wisconsin,1793.0,185599.0,12.0,0.0,,,,20.0,4015.0,367.0,17.0,0.009660612395540924,0.0,,,,0.0049813200498132005,0.09140722291407223,0.004234122042341221
146,Wyoming,2945.0,199532.0,12.0,0.0,,,,11.0,1129.0,127.0,0.0,0.014759537317322534,0.0,,,,0.00974313551815766,0.112488928255093,0.0
147,Alabama,13407.0,513811.0,13.0,0.0,,,,108.0,2843.0,17.0,0.0,0.02609325218806137,0.0,,,,0.03798804080196975,0.005979599015124868,0.0
148,Alaska,948.0,93075.0,13.0,0.0,,,,532.0,3392.0,82.0,0.0,0.010185334407735697,0.0,,,,0.15683962264150944,0.024174528301886794,0.0
149,Arizona,16153.0,1102430.0,13.0,0.0,,,,1336.0,4868.0,414.0,0.0,0.014652177462514626,0.0,,,,0.2744453574363188,0.08504519309778143,0.0
150,Arkansas,3471.0,137582.0,13.0,0.0,,,,161.0,2334.0,7.0,0.0,0.02522859094939745,0.0,,,,0.0689802913453299,0.0029991431019708655,0.0
151,California,40989.0,1697381.0,13.0,0.0,,,,1120.0,21205.0,307.0,0.0,0.024148379179453523,0.0,,,,0.05281773166705966,0.01447771751945296,0.0
152,Colorado,8988.0,951461.0,13.0,0.0,,,,2343.0,16891.0,83.0,0.0,0.009446524870698851,0.0,,,,0.13871292404238944,0.004913859451779054,0.0
153,Connecticut,2402.0,131446.0,13.0,0.0,,,,689.0,11411.0,284.0,0.0,0.018273663709812395,0.0,,,,0.06038033476470073,0.02488826570852686,0.0
154,Delaware,1090.0,89554.0,13.0,0.0,,,,653.0,4914.0,196.0,0.0,0.012171427295263193,0.0,,,,0.13288563288563288,0.039886039886039885,0.0
155,Georgia,16351.0,1431141.0,13.0,0.0,,,,280.0,28831.0,711.0,0.0,0.011425149583444259,0.0,,,,0.009711768582428636,0.024660955221809857,0.0
156,Hawaii,1985.0,73410.0,13.0,0.0,,,,899.0,13157.0,540.0,0.0,0.027039912818417108,0.0,,,,0.06832864634795166,0.041042790909781864,0.0
157,Idaho,1879.0,115428.0,13.0,0.0,,,,374.0,498.0,4.0,0.0,0.01627854593339571,0.0,,,,0.751004016064257,0.008032128514056224,0.0
158,Illinois,49186.0,2580550.0,13.0,0.0,,,,452.0,5151.0,84.0,1.0,0.019060277847745635,0.0,,,,0.0877499514657348,0.016307513104251603,0.00019413706076490002
159,Indiana,4829.0,377583.0,13.0,0.0,,,,382.0,3971.0,14.0,7.0,0.012789241041042631,0.0,,,,0.09619743137748678,0.0035255603122639136,0.0017627801561319568
160,Iowa,3444.0,1263532.0,13.0,0.0,,,,598.0,1400.0,22.0,1.0,0.002725692740666639,0.0,,,,0.42714285714285716,0.015714285714285715,0.0007142857142857143
161,Kansas,4191.0,276290.0,13.0,0.0,,,,66.0,113.0,0.0,0.0,0.015168844330232726,0.0,,,,0.584070796460177,0.0,0.0
162,Kentucky,3859.0,855614.0,13.0,0.0,,,,281.0,3855.0,17.0,0.0,0.004510211380365445,0.0,,,,0.07289234760051881,0.004409857328145266,0.0
163,Louisiana,45431.0,1636093.0,13.0,0.0,,,,805.0,4144.0,183.0,0.0,0.027767981404480065,0.0,,,,0.19425675675675674,0.04416023166023166,0.0
164,Maine,2420.0,259443.0,13.0,0.0,,,,302.0,980.0,60.0,0.0,0.009327675057719807,0.0,,,,0.3081632653061224,0.061224489795918366,0.0
165,Maryland,5440.0,448418.0,13.0,0.0,,,,1317.0,4402.0,152.0,0.0,0.012131537984648253,0.0,,,,0.2991821899136756,0.03452975920036347,0.0
166,Massachusetts,13998.0,1355280.0,13.0,0.0,,,,204.0,2095.0,67.0,0.0,0.01032849300513547,0.0,,,,0.0973747016706444,0.03198090692124105,0.0
167,Michigan,10952.0,654238.0,13.0,0.0,,,,330.0,630.0,26.0,0.0,0.016740085412342297,0.0,,,,0.5238095238095238,0.04126984126984127,0.0
168,Minnesota,3040.0,221085.0,13.0,0.0,,,,1250.0,10479.0,133.0,0.0,0.013750367505710473,0.0,,,,0.11928619143048001,0.012692050768203072,0.0
169,Mississippi,27545.0,834806.0,13.0,0.0,,,,131.0,2407.0,26.0,0.0,0.03299569001660266,0.0,,,,0.05442459493144994,0.01080182800166182,0.0
170,Missouri,4716.0,293474.0,13.0,0.0,,,,420.0,15427.0,40.0,0.0,0.016069566639634176,0.0,,,,0.027224995138393725,0.0025928566798470213,0.0
171,Montana,291.0,106455.0,13.0,0.0,,,,415.0,3967.0,20.0,0.0,0.002733549387064957,0.0,,,,0.10461305772624149,0.005041593143433325,0.0
172,Nebraska,1267.0,101323.0,13.0,0.0,,,,273.0,2312.0,16.0,0.0,0.012504564610206962,0.0,,,,0.11807958477508651,0.006920415224913495,0.0
173,Nevada,9131.0,726583.0,13.0,0.0,,,,358.0,1350.0,87.0,0.0,0.012567043269660865,0.0,,,,0.2651851851851852,0.06444444444444444,0.0
174,New Hampshire,467.0,179911.0,13.0,0.0,,,,304.0,1289.0,82.0,0.0,0.002595727887677796,0.0,,,,0.23584173778122575,0.06361520558572537,0.0
175,New Jersey,9272.0,417025.0,13.0,0.0,,,,0.0,0.0,0.0,0.0,0.022233679036029016,,,,,,,
176,New Mexico,11610.0,475959.0,13.0,0.0,,,,261.0,1439.0,12.0,0.0,0.024392857367966567,0.0,,,,0.1813759555246699,0.008339124391938846,0.0
177,New York,10188.0,670418.0,13.0,0.0,,,,1543.0,38331.0,1325.0,0.0,0.015196489354402775,0.0,,,,0.04025462419451619,0.03456732148913412,0.0
178,North Carolina,7761.0,559484.0,13.0,0.0,,,,229.0,619.0,11.0,0.0,0.013871710361690414,0.0,,,,0.36995153473344106,0.017770597738287562,0.0
179,North Dakota,681.0,70831.0,13.0,0.0,,,,159.0,2737.0,35.0,0.0,0.00961443435783767,0.0,,,,0.058092802338326636,0.01278772378516624,0.0
180,Ohio,4938.0,632449.0,13.0,0.0,,,,296.0,3332.0,42.0,0.0,0.007807744181744299,0.0,,,,0.08883553421368548,0.012605042016806723,0.0
181,Oklahoma,5307.0,174069.0,13.0,0.0,,,,541.0,6902.0,62.0,0.0,0.03048790996673733,0.0,,,,0.07838307736887859,0.008982903506230079,0.0
182,Oregon,1094.0,130808.0,13.0,0.0,,,,444.0,1107.0,4.0,0.0,0.008363402849978595,0.0,,,,0.4010840108401084,0.0036133694670280035,0.0
183,Pennsylvania,7753.0,626727.0,13.0,0.0,,,,991.0,8094.0,283.0,0.0,0.012370617509697205,0.0,,,,0.12243637262169509,0.03496417099085743,0.0
184,Rhode Island,1298.0,275918.0,13.0,0.0,,,,0.0,0.0,0.0,0.0,0.00470429620394465,,,,,,,
185,South Carolina,1587.0,272596.0,13.0,0.0,,,,197.0,4618.0,118.0,0.0,0.005821802227472157,0.0,,,,0.042659159809441315,0.025552187093980078,0.0
186,South Dakota,2633.0,223928.0,13.0,0.0,,,,487.0,4711.0,62.0,0.0,0.0117582437211961,0.0,,,,0.10337507960093398,0.013160687752069624,0.0
187,Tennessee,5119.0,479688.0,13.0,0.0,,,,486.0,4240.0,28.0,0.0,0.010671519821217125,0.0,,,,0.11462264150943396,0.006603773584905661,0.0
188,Texas,72735.0,1972914.0,13.0,0.0,,,,1620.0,43778.0,932.0,0.0,0.036866786894917875,0.0,,,,0.037004888300059394,0.021289232034355156,0.0
189,Utah,17548.0,947602.0,13.0,0.0,,,,1159.0,21247.0,309.0,0.0,0.018518323093450625,0.0,,,,0.054548877488586625,0.014543229632418695,0.0
190,Vermont,3056.0,123000.0,13.0,0.0,,,,73.0,124.0,1.0,0.0,0.024845528455284552,0.0,,,,0.5887096774193549,0.008064516129032258,0.0
191,Virginia,64073.0,3378822.0,13.0,0.0,,,,510.0,4727.0,78.0,0.0,0.018963117915060338,0.0,,,,0.10789083985614555,0.01650095197799873,0.0
192,Washington,1754.0,246271.0,13.0,0.0,,,,1090.0,13688.0,112.0,0.0,0.0071222352611553935,0.0,,,,0.07963179427235535,0.008182349503214495,0.0
193,West Virginia,6202.0,642309.0,13.0,0.0,,,,1014.0,12247.0,27.0,0.0,0.009655788724741519,0.0,,,,0.08279578672327917,0.002204621539968972,0.0
194,Wisconsin,3064.0,218528.0,13.0,0.0,,,,647.0,3804.0,62.0,0.0,0.014021086542685605,0.0,,,,0.17008412197686645,0.01629863301787592,0.0
195,Wyoming,1525.0,212431.0,13.0,0.0,,,,231.0,922.0,10.0,0.0,0.007178801587338948,0.0,,,,0.25054229934924077,0.010845986984815618,0.0
196,Alabama,19081.0,427031.0,14.0,0.0,,,,0.0,8800.0,213.0,0.0,0.0446829387093677,0.0,,,,0.0,0.024204545454545454,0.0
197,Alaska,549.0,51217.0,14.0,0.0,,,,4.0,4487.0,187.0,0.0,0.010719097174766191,0.0,,,,0.0008914642299977714,0.04167595275239581,0.0
198,Arizona,16668.0,1182088.0,14.0,0.0,,,,5.0,7437.0,234.0,0.0,0.014100473061227253,0.0,,,,0.000672314105149926,0.03146430012101654,0.0
199,Arkansas,5205.0,170716.0,14.0,0.0,,,,0.0,4336.0,224.0,0.0,0.030489233580918016,0.0,,,,0.0,0.05166051660516605,0.0
200,California,49959.0,1935730.0,14.0,0.0,,,,30.0,48893.0,1299.0,0.0,0.025808867972289522,0.0,,,,0.0006135847667355245,0.02656822039964821,0.0
201,Colorado,1754.0,175303.0,14.0,0.0,,,,18.0,20168.0,734.0,0.0,0.010005533276669538,0.0,,,,0.0008925029750099166,0.036394287980959936,0.0
202,Connecticut,3676.0,159008.0,14.0,0.0,,,,5.0,16224.0,365.0,0.0,0.023118333668746226,0.0,,,,0.0003081854043392505,0.022497534516765286,0.0
203,Delaware,668.0,105692.0,14.0,0.0,,,,5.0,5928.0,71.0,0.0,0.006320251296219203,0.0,,,,0.0008434547908232119,0.011977058029689609,0.0
204,Georgia,18981.0,1179448.0,14.0,0.0,,,,3.0,37005.0,1151.0,0.0,0.016093121528036845,0.0,,,,8.107012565869477e-05,0.03110390487771923,0.0
205,Hawaii,7320.0,116561.0,14.0,0.0,,,,18.0,15451.0,655.0,0.0,0.06279973576067467,0.0,,,,0.0011649731408970294,0.0423920781826419,0.0
